Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,NSGAII,MOEAD
80,0.31625,0.0603608938,0.6406878262,2.3420326846,0.0198544177,0.1125,0.0511737237,0.7806582966,2.4683124384,0.1394939493,0.57125,0.0440560722,-0.0158910099,2.9752108802,0.2285640551,0.57125,0.0440560722,-0.0158910099,2.9752108802,0.2285640551,0.8877087176150003,0.885198895065
81,0.4018518519,0.0926177744,0.7750249002,2.1943310445,-0.1596142491,0.0872222222,0.064819312,0.8875590644,1.7816859415,0.4491134583,0.5109259259,0.0563148727,0.1715607581,3.0410185058,0.6654049724,0.5109259259,0.0563148727,0.1715607581,3.0410185058,0.6654049724,0.8038725751300001,0.80196771265
82,0.4241139241,0.0896133025,0.6685265999,2.5846461789,-0.2949733953,0.0912658228,0.0605223484,0.8127065446,2.7527521226,0.7543842757,0.4846202532,0.0550332014,0.1623407183,2.8177590521,0.081590114,0.4846202532,0.0550332014,0.1623407183,2.8177590521,0.081590114,0.9233110416000001,0.9112548882
83,0.4044444444,0.0967247926,0.721200502,2.1766700416,-0.0702585083,0.1260818713,0.0831005469,0.81773371,2.8233146276,0.777975106,0.4694736842,0.0537403674,0.0045866939,2.5837016903,0.0082439228,0.4694736842,0.0537403674,0.0045866939,2.5837016903,0.0082439228,0.87049376295,0.8596303166
84,0.4112087912,0.0773011119,0.5080237993,2.586084935,0.1403379511,0.1063736264,0.0608820962,0.6035348613,2.8787550519,0.6357164766,0.4824175824,0.0517249841,-0.0077565073,2.6915628269,0.1287105341,0.4824175824,0.0517249841,-0.0077565073,2.6915628269,0.1287105341,0.81987177975,0.8145073000999998
85,0.4129752066,0.0900839336,0.7721927291,2.2081643532,-0.106035869,0.1119008264,0.06809466,0.8130352181,2.8295096151,0.7188704564,0.4751239669,0.0518280007,0.122595923,2.6871346266,0.071919077,0.4751239669,0.0518280007,0.122595923,2.6871346266,0.071919077,0.87544286055,0.8708128868000001
86,0.3840990991,0.0764637882,0.6761805357,2.6441612034,-0.0783273766,0.124954955,0.0851799777,0.8017955203,3.1574037659,0.8915466455,0.4909459459,0.0510211646,0.1694228414,3.135323719,-0.22137134,0.4909459459,0.0510211646,0.1694228414,3.135323719,-0.22137134,0.7352782351499999,0.7315941226
87,0.4965217391,0.1610997179,0.8857359051,1.7505554555,0.1404447314,0.1182608696,0.0831788107,0.6787915334,2.474986509,0.5538086648,0.3852173913,0.0975290175,0.8384205697,2.4901417114,0.270726858,0.3852173913,0.0975290175,0.8384205697,2.4901417114,0.270726858,0.7731005275499999,0.77347195395
88,0.4379487179,0.1274036486,0.8138793001,2.1380528256,0.0015615679,0.1192307692,0.0748120591,0.8289921835,2.8657219916,0.7070981805,0.4428205128,0.0702723171,0.466436063,2.6898111359,-0.2158666633,0.4428205128,0.0702723171,0.466436063,2.6898111359,-0.2158666633,0.6872688498499999,0.6862042594500001
89,0.3718796992,0.0876523411,0.7804166161,2.1921914886,-0.0538831014,0.1146616541,0.0727396105,0.7646344954,2.8261046751,0.6766714793,0.5134586466,0.0476838762,0.1492316302,2.4812580615,-0.1145129347,0.5134586466,0.0476838762,0.1492316302,2.4812580615,-0.1145129347,0.77620320446,0.77077208581
