Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,NSGAII,MOEAD
187,0.232,0.0365513338,-0.470940683,2.7491304816,0.9701719251,0.266,0.0326190129,-0.4254952627,1.5925433885,-0.0912793904,0.502,0.0549181209,-0.7655288193,1.9063702693,-0.6514641754,0.502,0.0549181209,-0.7655288193,1.9063702693,-0.6514641754,0.8919192985399998,0.827047022196
188,0.208,0.036,-0.2691570881,2.404092364,0.5226337449,0.232,0.0381575681,0.0267306374,1.28465765,0.0622059134,0.56,0.0316227766,-0.3673469388,1.828,-0.3794733192,0.56,0.0316227766,-0.3673469388,1.828,-0.3794733192,0.792979280645,0.746850474558
189,0.252,0.055641711,0.4808982211,1.565280532,-0.2321051682,0.238,0.0305941171,0.2636684303,2.1747753671,0.5665577237,0.51,0.0268328157,0.6666666667,1.25,0.0,0.51,0.0268328157,0.6666666667,1.25,0.0,0.8099886006550001,0.7747638967155
19,0.23,0.0228035085,-0.36,2.5,-0.6071940134,0.302,0.0271293199,-0.0655737705,2.9310018904,-1.1731251294,0.468,0.0318747549,-0.8576598311,1.3299336599,0.1823080253,0.468,0.0318747549,-0.8576598311,1.3299336599,0.1823080253,0.814548155155,0.7899433801544999
190,0.236,0.0233238076,-0.1014263074,1.5469290657,0.1097086537,0.24,0.0346410162,-0.6571428571,1.45,0.2886751346,0.524,0.0382622529,-0.0918114144,2.4835169757,-0.3076267313,0.524,0.0382622529,-0.0918114144,2.4835169757,-0.3076267313,0.9567189618549999,0.9040450038894999
191,0.292,0.0354400903,-0.287094548,1.7075946286,-0.0841107259,0.232,0.0299332591,0.8648648649,2.1339285714,-0.7301958931,0.476,0.0449888875,-0.4857881137,1.9858223062,0.4870768025,0.476,0.0449888875,-0.4857881137,1.9858223062,0.4870768025,0.95650550562,0.9019883260835
192,0.192,0.0406939799,-0.0776805252,2.118847581,0.4964591471,0.284,0.0728285658,-0.0845962452,1.9146720993,0.3207184681,0.524,0.047581509,-0.3660278091,3.1348936808,-1.4075901838,0.524,0.047581509,-0.3660278091,3.1348936808,-1.4075901838,0.7026664897284999,0.7014876096670501
193,0.24,0.062289646,0.1597633136,2.8826123924,1.2512215002,0.276,0.0387814389,-0.3139658849,2.4330296514,-0.4369824589,0.484,0.0631189354,-0.4457425298,2.4250133062,-0.8711799637,0.484,0.0631189354,-0.4457425298,2.4250133062,-0.8711799637,0.9081080767649998,0.8720259648425
194,0.304,0.0338230691,0.1950832672,2.7136045772,-1.1524389144,0.18,0.0141421356,0.2222222222,1.7,-0.0,0.516,0.0344093011,-0.115819209,2.6519357195,1.017952296,0.516,0.0344093011,-0.115819209,2.6519357195,1.017952296,0.8239001436200001,0.7458158111255001
195,0.332,0.0213541565,-0.2138084633,2.2746999077,0.8478566294,0.216,0.0344093011,-0.4658634538,1.9945215486,-0.3958703373,0.452,0.0376297754,-0.0824742268,2.4689744326,0.8575971039,0.452,0.0376297754,-0.0824742268,2.4689744326,0.8575971039,0.7890138016965,0.768781368088
