Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,NSGAII,MOEAD
420,0.3801273885,0.1012909492,0.5130658292,3.2658948939,0.3245934484,0.1412738854,0.0729603864,0.4894570368,2.544180007,0.3755843954,0.4785987261,0.0752444729,0.1090849552,2.72499048,-0.1593026084,0.4785987261,0.0752444729,0.1090849552,2.72499048,-0.1593026084,0.8374873453649998,0.7685784324830001
421,0.3897297297,0.0928377395,0.4299527973,2.3161092992,-0.1631588919,0.1156756757,0.0685187108,0.6248214025,1.715228018,0.2366360331,0.4945945946,0.0716822793,0.2321831454,2.3159717554,0.0059328033,0.4945945946,0.0716822793,0.2321831454,2.3159717554,0.0059328033,0.8824837224009998,0.8784875772290001
422,0.3276923077,0.0818397915,0.392706439,2.625002934,-0.1754796931,0.146,0.0728180028,0.4437159059,2.3445441902,0.3532661282,0.5263076923,0.0645474001,0.0085334242,2.5834161768,0.1134450053,0.5263076923,0.0645474001,0.0085334242,2.5834161768,0.1134450053,0.8657092608700001,0.7872925043615001
423,0.3632,0.0745503856,0.2330545938,1.8000078396,0.1244716621,0.148,0.0870861642,0.367903826,2.0292955189,0.0366289346,0.4888,0.0744215023,-0.4064517041,2.8427523546,0.2763315678,0.4888,0.0744215023,-0.4064517041,2.8427523546,0.2763315678,0.8101207985904999,0.8094335772749
424,0.3530769231,0.0858338839,0.4791768218,2.2860135609,0.0352183387,0.1480769231,0.0960175958,0.6737484766,2.4478332054,0.5265121594,0.4988461538,0.0613205276,0.1273807567,3.0148834879,-0.4659766119,0.4988461538,0.0613205276,0.1273807567,3.0148834879,-0.4659766119,0.9475126727405001,0.9415902922852499
425,0.3294594595,0.0798121425,0.2073163458,2.4726566512,-0.1571324015,0.1175675676,0.0628126948,0.4240894263,2.2818885802,0.4682715745,0.552972973,0.0762238831,-0.0531404283,2.5602945501,-0.3456165581,0.552972973,0.0762238831,-0.0531404283,2.5602945501,-0.3456165581,0.8413170541199999,0.8042697474064999
426,0.3406741573,0.0817477313,0.1789167339,2.4842172968,-0.0074642109,0.1191011236,0.0623084111,0.4850239735,2.492393856,0.4029774892,0.5402247191,0.0768769267,0.0550256437,2.1543704919,-0.1391452417,0.5402247191,0.0768769267,0.0550256437,2.1543704919,-0.1391452417,0.92371495751,0.876219629829
427,0.3324369748,0.0748327703,0.2596956096,3.1805123395,-0.0957060209,0.1700840336,0.0708590244,0.402759973,3.3107751679,0.3297817905,0.4974789916,0.0676399078,-0.0882024922,5.1820369584,0.3575600016,0.4974789916,0.0676399078,-0.0882024922,5.1820369584,0.3575600016,0.9662034621399999,0.910922320921
428,0.3513924051,0.0861957469,0.3190939366,2.6820389225,0.3739497058,0.1412658228,0.0568668685,0.2246964345,2.9659439792,-0.1631550671,0.5073417722,0.0765838477,0.1471619737,3.7313333296,-0.3888039502,0.5073417722,0.0765838477,0.1471619737,3.7313333296,-0.3888039502,0.837086199575,0.7524046923714999
429,0.4853658537,0.1133115188,0.3128873764,2.7138701955,0.2053264009,0.1326829268,0.0683971327,0.704349002,3.5506165236,0.7154875949,0.3819512195,0.091470894,-0.2648530199,2.7560648461,0.1282288635,0.3819512195,0.091470894,-0.2648530199,2.7560648461,0.1282288635,0.8871123038574996,0.8732579173261501
